,Gender,Age,Education,Party,Race,Region,Marital,RACESURV10,RACESURV11,RACESURV6,RACESURV7,RACESURV20,RACESURV22
519,1,2,3,3,3,1,6,2,2,2,2,2,3
521,1,3,1,2,3,4,3,2,2,2,2,3,4
522,2,4,3,1,3,3,1,2,3,2,4,3,3
523,2,4,1,2,2,1,3,2,2,2,1,2,3
524,1,4,3,2,2,3,1,2,2,2,2,2,4
525,1,2,3,2,2,3,3,1,1,2,2,2,4
528,1,4,2,99,2,3,1,2,2,2,2,2,4
529,2,1,3,3,3,3,2,2,1,1,3,3,4
533,1,3,3,1,3,1,4,1,2,2,1,2,4
534,2,2,2,2,2,2,6,2,3,1,2,2,4
536,1,1,3,3,3,3,2,1,2,2,3,2,3
538,1,4,2,3,2,3,5,2,2,2,1,1,4
541,2,2,2,2,2,2,3,1,3,1,2,2,4
544,1,4,2,2,3,4,1,2,2,2,2,2,4
546,2,4,3,2,3,3,1,2,2,1,2,2,2
551,1,3,1,2,2,3,3,2,3,2,3,2,4
552,1,3,3,2,2,3,1,2,2,2,2,3,3
554,2,3,2,2,3,4,1,2,2,2,3,3,4
561,1,3,3,2,3,4,3,1,2,2,3,2,2
562,2,2,1,3,3,3,1,2,2,1,2,2,4
563,1,3,3,2,3,1,6,2,2,2,4,3,4
566,2,4,1,3,2,2,5,2,2,2,3,3,4
567,2,3,2,2,3,4,1,2,3,2,3,3,4
568,2,1,2,2,3,4,2,2,2,2,3,2,4
569,1,4,2,2,2,4,3,2,2,2,1,2,4
570,2,4,3,2,2,3,6,2,2,2,2,2,3
573,1,2,1,3,2,3,1,1,1,2,1,2,4
576,1,3,1,3,2,2,1,99,3,1,3,3,4
577,2,1,3,4,2,1,6,1,3,1,3,3,4
578,2,4,1,99,2,2,3,2,2,2,3,1,4
579,2,2,3,2,3,1,1,2,2,2,3,3,4
580,1,2,1,4,3,3,1,2,2,1,3,2,99
581,2,3,3,2,3,2,1,2,2,2,3,2,4
582,2,3,2,4,2,1,3,1,3,2,4,3,4
583,2,4,3,4,2,3,1,99,99,2,3,2,4
584,1,2,2,3,2,4,3,1,2,2,3,3,4
587,1,1,3,4,3,3,2,1,3,1,4,2,4
589,1,4,3,2,2,4,2,2,1,2,3,2,4
591,1,4,2,2,2,2,1,2,2,2,2,2,3
596,1,3,2,2,2,3,3,1,3,2,3,2,3
597,2,3,2,4,2,3,1,1,3,2,3,3,4
600,2,2,3,2,3,4,6,2,2,2,2,2,3
604,2,3,3,2,3,1,1,2,2,2,2,3,4
606,1,2,3,4,2,3,3,1,3,2,1,2,3
607,1,4,2,3,2,3,5,2,3,2,2,2,2
608,1,2,1,1,2,3,1,1,2,1,2,3,4
609,1,1,2,2,2,4,6,2,2,2,2,2,2
611,1,3,3,4,3,1,1,2,2,1,2,2,2
613,2,2,2,2,2,1,6,2,2,2,2,3,4
614,1,3,2,3,2,3,1,2,2,2,1,2,4
615,2,2,3,4,2,2,1,2,2,2,4,3,3
618,2,2,1,3,2,3,1,2,2,2,1,1,3
623,2,1,2,2,3,4,6,2,2,2,1,2,2
624,1,2,1,2,3,4,2,2,2,2,3,2,3
625,2,2,3,4,3,3,1,2,3,1,2,3,2
626,2,2,1,2,2,2,1,2,2,2,1,2,3
627,1,4,2,1,3,2,1,1,1,99,3,2,2
630,2,2,2,2,3,3,1,2,2,1,2,3,4
632,2,2,3,3,3,3,1,2,2,2,2,2,4
633,2,2,3,2,3,3,1,1,2,1,3,3,4
634,2,2,2,2,3,4,1,2,2,2,1,3,4
637,1,1,2,3,2,2,6,2,2,2,99,2,3
641,1,3,3,2,3,3,1,2,2,2,99,3,4
642,2,2,3,2,2,4,1,2,2,2,2,2,4
643,2,1,2,2,3,3,2,2,2,2,2,2,4
645,2,3,1,1,3,3,3,2,3,1,2,3,3
646,2,1,1,4,3,4,2,2,2,1,4,3,4
647,1,1,2,3,2,3,6,1,2,2,3,2,3
650,2,2,2,2,2,3,1,2,2,2,2,3,3
653,2,2,3,2,3,3,1,99,3,2,3,3,4
655,2,2,3,2,2,4,1,2,2,2,3,2,3
656,2,3,1,2,2,3,3,2,3,2,3,2,4
657,2,4,2,99,2,1,4,2,2,2,2,1,1
661,2,4,1,2,2,2,5,1,3,2,2,3,4
662,1,3,3,2,3,4,1,2,2,2,3,2,2
663,1,1,2,3,2,2,6,2,2,2,3,2,3
664,2,2,3,2,3,4,1,2,2,2,3,2,4
665,2,3,3,2,2,3,1,2,2,2,2,2,1
666,2,2,1,2,3,3,2,1,2,2,2,3,2
673,1,3,3,3,2,4,1,2,1,2,1,1,4
677,2,4,3,2,2,3,1,1,3,2,2,2,3
678,2,4,3,2,3,4,1,2,2,2,3,3,4
680,2,4,3,2,2,1,1,2,2,2,2,2,3
681,2,3,3,2,2,1,3,2,2,2,3,2,2
682,2,2,1,99,2,2,2,2,2,2,1,2,3
684,2,4,3,3,3,4,3,1,1,2,1,2,3
685,2,2,3,1,3,4,1,1,2,2,2,1,3
686,2,3,3,1,3,3,1,1,2,1,3,3,4
689,2,2,3,3,2,3,1,1,1,2,2,2,3
692,1,3,3,2,3,1,1,1,3,1,2,2,2
693,2,1,2,3,3,1,6,2,2,2,1,1,3
